,Serienummer,SID,Tijdstip van indienen,Verwerkingstijd,Tijdstip van wijziging,Concept,UID,Wat is je leeftijd?,Wat is je geslacht?,In welk leerjaar zit je?,Hoeveel uur wiskunde krijg je per week?,"Hoe goed ben je, volgens jezelf, in wiskunde?","Hoe goed ben je, volgens jezelf, met het gebruik van computers?","Gebruikte je al eens een andere website om online oefeningen te maken? (bijvoorbeeld voor wiskunde, Nederlands ...)","Gebruik je websites waar producten/films/... worden aangeraden? (zoals Netflix, Amazon, Bol, ...)",Ik bezoek Wiski niet met Safari of Firefox.
41,42,63,04/28/2021 - 17:48,04/28/2021 - 17:48,04/28/2021 - 17:48,0,1912,16, Meisje, 4e middelbaar,5, Goed, Goed, Ja, Ja, Ja
42,43,65,04/28/2021 - 18:20,04/28/2021 - 18:20,04/28/2021 - 18:20,0,1913,17, Jongen, 5e middelbaar,7, Goed, Gemiddeld, Nee, Ja, Ja
43,44,67,04/28/2021 - 22:26,04/28/2021 - 22:26,04/28/2021 - 22:26,0,1914,15, Meisje, 4e middelbaar,5, Heel goed, Goed, Nee, Ja, Ja
44,45,68,04/28/2021 - 22:28,04/28/2021 - 22:28,04/28/2021 - 22:28,0,1915,13, Jongen, 6e middelbaar,8, Goed, Goed, Ja, Ja, Ja
45,46,70,04/29/2021 - 11:28,04/29/2021 - 11:28,04/29/2021 - 11:28,0,1916,16, Anders, 5e middelbaar,7, Zwak, Heel zwak, Nee, Nee, Ja
46,47,71,04/29/2021 - 11:28,04/29/2021 - 11:28,04/29/2021 - 11:28,0,1916,16, Anders, 5e middelbaar,7, Zwak, Heel zwak, Nee, Nee, Ja
47,48,72,04/29/2021 - 16:08,04/29/2021 - 16:08,04/29/2021 - 16:08,0,1917,16, Jongen, 5e middelbaar,7, Gemiddeld, Goed, Ja, Ja, Ja
48,49,73,04/29/2021 - 21:34,04/29/2021 - 21:34,04/29/2021 - 21:34,0,1919,16, Jongen, 5e middelbaar,7, Goed, Heel goed, Ja, Ja, Ja
49,50,74,04/29/2021 - 21:35,04/29/2021 - 21:35,04/29/2021 - 21:35,0,1920,17, Jongen, 5e middelbaar,7, Goed, Goed, Nee, Ja, Ja
50,51,75,04/29/2021 - 21:36,04/29/2021 - 21:36,04/29/2021 - 21:36,0,1921,16, Jongen, 5e middelbaar,2, Gemiddeld, Heel goed, Nee, Ja, Ja
51,52,77,04/29/2021 - 22:07,04/29/2021 - 22:07,04/29/2021 - 22:07,0,1922,16, Jongen, 5e middelbaar,7, Gemiddeld, Goed, Ja, Ja, Ja
52,53,78,04/30/2021 - 07:31,04/30/2021 - 07:31,04/30/2021 - 07:31,0,1923,16, Jongen, 5e middelbaar,7, Gemiddeld, Heel goed, Ja, Ja, Ja
53,54,79,04/30/2021 - 13:44,04/30/2021 - 13:44,04/30/2021 - 13:44,0,1926,16, Jongen, 5e middelbaar,7, Gemiddeld, Gemiddeld, Ja, Ja, Ja
54,55,80,04/30/2021 - 13:45,04/30/2021 - 13:45,04/30/2021 - 13:45,0,1927,17, Jongen, 5e middelbaar,7, Gemiddeld, Heel goed, Nee, Ja, Ja
55,56,81,04/30/2021 - 13:58,04/30/2021 - 13:58,04/30/2021 - 13:58,0,1928,16, Meisje, 5e middelbaar,7, Gemiddeld, Gemiddeld, Ja, Ja, Ja
