"id","uid","quiz_result_id","quiz_result_answer_id","element","timestamp","attempts"
"160","1872","817","915","Button: Second Recommended","1618955106782","1"
"161","1872","818","916","Button: Oefeningenoverzicht","1618955124926","1"
"162","1875","819","917","Button: First Recommended","1618955297808","1"
"163","1875","820","918","Button: First Recommended","1618955354570","1"
"164","1875","821","919","Button: First Recommended","1618955382754","2"
"165","1875","822","920","Button: First Recommended","1618955430513","2"
"166","1875","825","923","Button: Third Recommended","1618955658825","4"
"167","1875","827","925","Button: Third Recommended","1618955746264","2"
"168","1875","828","926","Button: Third Recommended","1618955781313","2"
"169","1875","829","927","Button: Oefeningenoverzicht","1618955850327","1"
"170","1","833","931","Button: Oefeningenoverzicht","1618999738095","1"
"171","1","835","933","Button: Third Recommended","1619000469032","2"
"172","1","835","933","Button: First Recommended","1619000480849","2"
"173","1","837","935","Button: Third Recommended","1619000531804","1"
"174","1","838","936","Button: Oefeningenoverzicht","1619000553357","2"
"175","1","839","937","Button: Oefeningenoverzicht","1619001560332","1"
"176","1","840","938","Button: Oefeningenoverzicht","1619001614842","2"
"177","1","841","939","Button: Oefeningenoverzicht","1619001886447","2"
"178","1","842","940","Button: Oefeningenoverzicht","1619002477105","1"
"179","1","843","941","Button: Oefeningenoverzicht","1619002545885","6"
"180","1","844","942","Button: Second Recommended","1619002679572","5"
"181","1","845","943","Button: Oefeningenoverzicht","1619002716246","1"
"182","1876","846","944","Button: Oefeningenoverzicht","1619002810184","1"
"183","1877","847","945","Button: Second Recommended","1619002872990","1"
"184","1877","848","946","Button: Oefeningenoverzicht","1619002898659","3"
"185","1","849","947","Button: Third Recommended","1619003836782","3"
"186","1","850","948","Button: Oefeningenoverzicht","1619003902969","3"
"187","1875","852","950","Button: Second Recommended","1619006196760","3"
"188","1878","855","953","Button: Third Recommended","1619008676724","1"
"189","1878","856","954","Button: Oefeningenoverzicht","1619008751459","2"
"190","1878","857","955","Button: Second Recommended","1619008807083","1"
"191","1878","858","956","Button: First Recommended","1619008835174","2"
"192","1878","859","957","Button: Third Recommended","1619008859925","2"
"193","1878","860","958","Button: Oefeningenoverzicht","1619008923534","2"
"194","1879","861","959","Button: First Recommended","1619009180987","1"
"195","1879","862","960","Button: Oefeningenoverzicht","1619009207881","3"
"196","1880","863","961","Button: Second Recommended","1619009406831","1"
"197","1880","864","962","Button: First Recommended","1619009434554","1"
"198","1880","865","963","Button: Third Recommended","1619009461558","1"
"199","1880","866","964","Button: Oefeningenoverzicht","1619009482470","3"
"200","1880","867","965","Button: Oefeningenoverzicht","1619009510825","3"
"201","1880","868","966","Button: Oefeningenoverzicht","1619009627503","2"
"202","1881","869","967","Button: Oefeningenoverzicht","1619016242679","1"
"203","1881","869","967","Button: Oefeningenoverzicht","1619016247743","1"
"204","1841","879","977","Button: Oefeningenoverzicht","1619030081550","1"
"205","1859","880","978","Button: First Recommended","1619117275945","1"
"206","1859","881","979","Button: Oefeningenoverzicht","1619117343290","1"
"207","1859","882","980","Button: Oefeningenoverzicht","1619117386569","1"
"208","1859","883","981","Button: Oefeningenoverzicht","1619117433209","1"
"209","1859","884","982","Button: Oefeningenoverzicht","1619117494297","1"
"210","1","898","996","Button: Oefeningenoverzicht","1619188288382","1"
"211","1","899","997","Button: Oefeningenoverzicht","1619188344553","3"
"212","1866","900","998","Button: Oefeningenoverzicht","1619204160770","1"
"213","1886","901","999","Button: First Recommended","1619343263038","1"
"214","1886","902","1000","Button: First Recommended","1619343429092","5"
"215","1886","903","1001","Button: First Recommended","1619343548165","1"
"216","1886","904","1002","Button: First Recommended","1619343768822","1"
"217","1886","905","1003","Button: First Recommended","1619344097242","2"
"218","1887","907","1005","Button: First Recommended","1619344851479","3"
"219","1887","908","1006","Button: First Recommended","1619344955980","1"
"220","1887","909","1007","Button: First Recommended","1619345047179","2"
"221","1887","910","1008","Button: First Recommended","1619345337653","2"
"222","1887","911","1009","Button: First Recommended","1619345754504","3"
"223","1887","912","1010","Button: First Recommended","1619351361307","1"
"224","1887","913","1011","Button: First Recommended","1619352205528","2"
"225","1887","914","1012","Button: First Recommended","1619357302673","1"
"226","1887","915","1013","Button: First Recommended","1619357419741","1"
"227","1887","916","1014","Button: First Recommended","1619357455427","1"
"228","1887","917","1015","Button: First Recommended","1619357537396","3"
"229","1887","918","1016","Button: First Recommended","1619357661417","1"
"230","1887","919","1017","Button: First Recommended","1619358040129","5"
"231","1887","920","1018","Button: First Recommended","1619358132150","1"
"232","1887","921","1019","Button: Oefeningenoverzicht","1619358213434","1"
"233","1887","924","1022","Button: First Recommended","1619359670960","1"
"234","1887","925","1023","Button: First Recommended","1619359708616","1"
"235","1887","926","1024","Button: First Recommended","1619360010725","2"
"236","1887","927","1025","Button: First Recommended","1619360081465","1"
"237","1887","928","1026","Button: First Recommended","1619360421901","2"
"238","1887","929","1027","Button: First Recommended","1619360653332","1"
"239","1887","930","1028","Button: First Recommended","1619360692375","1"
"240","1887","931","1029","Button: First Recommended","1619360833323","1"
"241","1887","932","1030","Button: First Recommended","1619360893786","2"
"242","1887","933","1031","Button: First Recommended","1619360921963","2"
"243","1887","934","1032","Button: First Recommended","1619360939231","1"
"244","1887","935","1033","Button: First Recommended","1619360956161","1"
"245","1887","936","1034","Button: First Recommended","1619360979937","1"
"246","1887","937","1035","Button: First Recommended","1619361033944","2"
"247","1887","938","1036","Button: First Recommended","1619361143073","1"
"248","1887","939","1037","Button: First Recommended","1619361231915","1"
"249","1887","940","1038","Button: First Recommended","1619361339386","1"
"250","1887","941","1039","Button: First Recommended","1619361456134","1"
"251","1887","942","1040","Button: First Recommended","1619361476577","1"
"252","1887","943","1041","Button: First Recommended","1619361506244","2"
"253","1887","944","1042","Button: First Recommended","1619361686889","2"
"254","1887","945","1043","Button: First Recommended","1619361828261","1"
"255","1887","946","1044","Button: First Recommended","1619361935600","5"
"256","1887","947","1045","Button: Onderwerpenoverzicht","1619362069331","2"
"257","1888","949","1047","Button: First Recommended","1619427541806","4"
"258","1888","950","1048","Button: First Recommended","1619427816286","2"
"259","1888","951","1049","Button: First Recommended","1619428018357","1"
"260","1888","953","1051","Button: First Recommended","1619428380389","1"
"261","1888","954","1052","Button: First Recommended","1619428766733","2"
"262","1888","955","1053","Button: First Recommended","1619429014509","1"
"263","1888","956","1054","Button: First Recommended","1619429262380","4"
"264","1888","957","1055","Button: First Recommended","1619429309421","1"
"265","1888","958","1056","Button: First Recommended","1619429802083","3"
"266","1889","961","1059","Button: First Recommended","1619435455377","1"
"267","1889","962","1060","Button: First Recommended","1619435965259","5"
"268","1888","959","1057","Button: First Recommended","1619436629294","1"
"269","1889","963","1061","Button: Oefeningenoverzicht","1619436687348","1"
"270","1888","964","1062","Button: First Recommended","1619436753629","1"
"271","1889","965","1063","Button: Oefeningenoverzicht","1619436767785","1"
"272","1888","966","1064","Button: First Recommended","1619436833485","1"
"273","1888","968","1066","Button: First Recommended","1619437042012","3"
"274","1888","969","1067","Button: First Recommended","1619437172957","1"
"275","1888","970","1068","Button: First Recommended","1619437243125","1"
"276","1889","967","1065","Button: First Recommended","1619437389161","1"
"277","1888","971","1069","Button: First Recommended","1619437468348","5"
"278","1888","973","1071","Button: First Recommended","1619437494708","1"
"279","1888","974","1072","Button: First Recommended","1619437563765","1"
"280","1888","975","1073","Button: First Recommended","1619437584780","1"
"281","1888","976","1074","Button: Oefeningenoverzicht","1619437681900","3"
"282","1888","977","1075","Button: First Recommended","1619437876197","1"
"283","1889","972","1070","Button: First Recommended","1619437918819","2"
"284","1888","978","1076","Button: First Recommended","1619437959588","4"
"285","1889","979","1077","Button: First Recommended","1619438112900","1"
"286","1888","980","1078","Button: First Recommended","1619438155731","2"
"287","1888","982","1080","Button: First Recommended","1619438203091","1"
"288","1888","983","1081","Button: First Recommended","1619438306355","4"
"289","1889","981","1079","Button: First Recommended","1619438415883","2"
"290","1890","986","1084","Button: First Recommended","1619447473899","4"
"291","1890","987","1085","Button: First Recommended","1619448028883","1"
"292","1890","988","1086","Button: Oefeningenoverzicht","1619448146418","1"
"293","1891","989","1087","Button: First Recommended","1619448693631","1"
"294","1891","990","1088","Button: First Recommended","1619448797741","2"
"295","1891","991","1089","Button: First Recommended","1619448938365","1"
"296","1891","992","1090","Button: Oefeningenoverzicht","1619449041872","4"
"297","1891","993","1091","Button: Oefeningenoverzicht","1619449217044","3"
"298","1892","995","1093","Button: First Recommended","1619452008202","4"
"299","1892","996","1094","Button: First Recommended","1619452113597","1"
"300","1892","998","1096","Button: First Recommended","1619452596199","6"
"301","1893","1000","1098","Button: First Recommended","1619455309451","2"
"302","1893","1001","1099","Button: First Recommended","1619455338423","1"
"303","1893","1003","1101","Button: First Recommended","1619455424258","1"
"304","1893","1004","1102","Button: First Recommended","1619455473413","1"
"305","1893","1005","1103","Button: First Recommended","1619455754269","1"
"306","1893","1007","1105","Button: Oefeningenoverzicht","1619455879334","4"
"307","1894","1006","1104","Button: First Recommended","1619455881425","1"
"308","1894","1008","1106","Button: First Recommended","1619456049117","1"
"309","1894","1011","1109","Button: Third Recommended","1619456474172","1"
"310","1894","1012","1110","Button: Third Recommended","1619456543005","1"
"311","1894","1013","1111","Button: Third Recommended","1619456862736","1"
"312","1894","1014","1112","Button: Third Recommended","1619457026696","1"
"313","1894","1015","1113","Button: Third Recommended","1619457112464","1"
"314","1894","1016","1114","Button: First Recommended","1619457502257","1"
"315","1895","1018","1116","Button: First Recommended","1619457723042","1"
"316","1895","1019","1117","Button: First Recommended","1619457856794","1"
"317","1896","1021","1119","Button: First Recommended","1619458150791","1"
"318","1896","1024","1122","Button: First Recommended","1619458256064","1"
"319","1895","1020","1118","Button: First Recommended","1619458374271","2"
"320","1896","1033","1131","Button: Oefeningenoverzicht","1619458501189","1"
"321","1895","1036","1134","Button: First Recommended","1619458524605","1"
"322","1896","1037","1135","Button: Second Recommended","1619458585414","1"
"323","1896","1039","1137","Button: First Recommended","1619458648664","1"
"324","1895","1038","1136","Button: First Recommended","1619458740933","1"
"325","1896","1039","1137","Button: Second Recommended","1619458878655","1"
"326","1895","1041","1139","Button: First Recommended","1619459138789","5"
"327","1895","1043","1141","Button: First Recommended","1619461096706","2"
"328","1895","1046","1144","Button: Oefeningenoverzicht","1619461212711","3"
"329","1895","1048","1146","Button: First Recommended","1619461558879","5"
"330","1899","1050","1148","Button: First Recommended","1619461733593","1"
"331","1895","1049","1147","Button: First Recommended","1619461855136","3"
"332","1899","1051","1149","Button: First Recommended","1619461903418","1"
"333","1895","1052","1150","Button: First Recommended","1619461990072","2"
"334","1899","1055","1153","Button: Oefeningenoverzicht","1619462253933","1"
"335","1895","1054","1152","Button: First Recommended","1619462354316","1"
"336","1899","1056","1154","Button: Oefeningenoverzicht","1619462369178","1"
"337","1895","1057","1155","Button: First Recommended","1619462428307","1"
"338","1899","1058","1156","Button: First Recommended","1619462670389","4"
"339","1895","1061","1159","Button: First Recommended","1619462902363","1"
"340","1899","1060","1158","Button: Oefeningenoverzicht","1619462951226","2"
"341","1895","1062","1160","Button: First Recommended","1619463059016","2"
"342","1895","1064","1162","Button: First Recommended","1619463188254","1"
"343","1895","1065","1163","Button: First Recommended","1619463326436","1"
"344","1899","1063","1161","Button: First Recommended","1619463371045","4"
"345","1899","1067","1165","Button: First Recommended","1619463418839","1"
"346","1895","1066","1164","Button: First Recommended","1619463507660","1"
"347","1895","1069","1167","Button: First Recommended","1619463598625","2"
"348","1895","1070","1168","Button: First Recommended","1619463761616","1"
"349","1895","1071","1169","Button: First Recommended","1619463900547","2"
"350","1892","999","1097","Button: First Recommended","1619464018842","3"
"351","1899","1068","1166","Button: Oefeningenoverzicht","1619464020634","1"
"352","1895","1072","1170","Button: First Recommended","1619464060168","1"
"353","1895","1076","1174","Button: First Recommended","1619464192059","1"
"354","1899","1077","1175","Button: First Recommended","1619464198650","2"
"355","1895","1078","1176","Button: First Recommended","1619464608131","1"
"356","1895","1081","1179","Button: First Recommended","1619464772749","1"
"357","1899","1082","1180","Button: First Recommended","1619464777609","1"
"358","1895","1083","1181","Button: First Recommended","1619464856378","1"
"359","1899","1084","1182","Button: First Recommended","1619464864266","2"
"360","1895","1085","1183","Button: First Recommended","1619464983868","1"
"361","1899","1086","1184","Button: Oefeningenoverzicht","1619465071754","2"
"362","1895","1087","1185","Button: First Recommended","1619465149732","2"
"363","1900","1089","1187","Button: First Recommended","1619528986102","1"
"364","1900","1090","1188","Button: First Recommended","1619529013102","1"
"365","1900","1091","1189","Button: First Recommended","1619529034735","1"
"366","1900","1092","1190","Button: First Recommended","1619529240724","5"
"367","1900","1093","1191","Button: First Recommended","1619529271582","1"
"368","1900","1094","1192","Button: First Recommended","1619529498994","1"
"369","1900","1095","1193","Button: Oefeningenoverzicht","1619529543277","2"
"370","1900","1096","1194","Button: First Recommended","1619529818284","2"
"371","1900","1097","1195","Button: First Recommended","1619529847495","1"
"372","1900","1098","1196","Button: First Recommended","1619529877605","1"
"373","1900","1099","1197","Button: First Recommended","1619529937363","3"
"374","1900","1100","1198","Button: Oefeningenoverzicht","1619529954709","1"
"375","1893","1109","1207","Button: First Recommended","1619537845029","1"
"376","1893","1110","1208","Button: First Recommended","1619537935227","5"
"377","1893","1112","1210","Button: First Recommended","1619538070014","1"
"378","1893","1113","1211","Button: First Recommended","1619541590216","2"
"379","1893","1114","1212","Button: Oefeningenoverzicht","1619542097282","3"
"380","1893","1115","1213","Button: First Recommended","1619542286476","1"
"381","1893","1115","1213","Button: Second Recommended","1619542316830","1"
"382","1893","1117","1215","Button: First Recommended","1619542958206","2"
"383","1893","1117","1215","Button: Second Recommended","1619542979367","2"
"384","1893","1117","1215","Button: Third Recommended","1619542992343","2"
"385","1893","1117","1215","Button: Oefeningenoverzicht","1619543005617","2"
"386","1893","1121","1219","Button: First Recommended","1619543264230","2"
"387","1893","1121","1220","Button: Second Recommended","1619543623823","4"
"388","1893","1121","1220","Button: Third Recommended","1619543673080","4"
"389","1893","1121","1220","Button: Oefeningenoverzicht","1619543687507","4"
"390","1893","1126","1224","Button: Oefeningenoverzicht","1619543723377","1"
"391","1893","1127","1225","Button: Oefeningenoverzicht","1619543792026","1"
"392","1893","1128","1226","Button: Oefeningenoverzicht","1619543863863","1"
"393","1893","1129","1227","Button: Oefeningenoverzicht","1619544020003","1"
"394","1893","1130","1228","Button: Oefeningenoverzicht","1619544104801","1"
"395","1893","1133","1231","Button: Oefeningenoverzicht","1619544316306","4"
"396","1893","1134","1232","Button: Oefeningenoverzicht","1619544485571","1"
"397","1893","1135","1233","Button: Oefeningenoverzicht","1619544567981","2"
"398","1893","1118","1216","Button: Oefeningenoverzicht","1619545516985","2"
"399","1893","1119","1217","Button: Oefeningenoverzicht","1619545780992","1"
"400","1893","1136","1234","Button: Oefeningenoverzicht","1619612754986","2"
"401","1893","1138","1236","Button: First Recommended","1619613378961","1"
"402","1893","1139","1237","Button: First Recommended","1619613471662","5"
"403","1893","1140","1238","Button: First Recommended","1619613501166","4"
"404","1893","1141","1239","Button: First Recommended","1619613556563","1"
"405","1893","1141","1239","Button: Second Recommended","1619613568552","1"
"406","1893","1141","1239","Button: Third Recommended","1619613603170","1"
"407","1893","1144","1242","Button: First Recommended","1619613694274","1"
"408","1893","1145","1243","Button: First Recommended","1619613724093","1"
"409","1893","1146","1244","Button: First Recommended","1619613758117","1"
"410","1893","1147","1245","Button: First Recommended","1619613807867","1"
"411","1893","1148","1246","Button: First Recommended","1619614193166","2"
"412","1893","1149","1247","Button: First Recommended","1619614245435","2"
"413","1893","1149","1247","Button: First Recommended","1619614295769","2"
"414","1893","1150","1248","Button: First Recommended","1619614349621","1"
"415","1893","1151","1249","Button: Oefeningenoverzicht","1619614418323","2"
"416","1893","1153","1251","Button: First Recommended","1619616295848","3"
"417","1893","1154","1252","Button: First Recommended","1619616798307","2"
"418","1893","1154","1252","Button: First Recommended","1619616920365","2"
"419","1893","1155","1253","Button: First Recommended","1619617272468","2"
"420","1893","1156","1254","Button: Oefeningenoverzicht","1619617338820","1"
"421","1893","1157","1255","Button: Oefeningenoverzicht","1619617390095","4"
"422","1893","1158","1256","Button: Oefeningenoverzicht","1619617420002","1"
"423","1893","1159","1257","Button: Oefeningenoverzicht","1619617484031","2"
"424","1893","1160","1258","Button: Oefeningenoverzicht","1619617590207","1"
"425","1893","1161","1259","Button: Oefeningenoverzicht","1619617624520","1"
"426","1893","1162","1260","Button: First Recommended","1619617675176","1"
"427","1893","1163","1261","Button: First Recommended","1619617689725","1"
"428","1893","1164","1262","Button: Onderwerpenoverzicht","1619617718038","4"
"429","1911","1169","1267","Button: First Recommended","1619621396214","1"
"430","1911","1170","1268","Button: First Recommended","1619621456140","1"
"431","1911","1172","1270","Button: First Recommended","1619621784130","1"
"432","1911","1173","1271","Button: Oefeningenoverzicht","1619621991586","4"
"433","1911","1174","1272","Button: Oefeningenoverzicht","1619622347942","3"
"434","1893","1143","1241","Button: Onderwerpenoverzicht","1619623451448","4"
"435","1893","1178","1276","Button: Onderwerpenoverzicht","1619624535601","4"
"436","1912","1180","1278","Button: First Recommended","1619625070961","2"
"437","1912","1182","1280","Button: Oefeningenoverzicht","1619625113338","1"
"438","1912","1183","1281","Button: Oefeningenoverzicht","1619625280334","2"
"439","1912","1184","1282","Button: Oefeningenoverzicht","1619625340722","1"
"440","1912","1185","1283","Button: Oefeningenoverzicht","1619625409635","1"
"441","1893","1177","1275","Button: Onderwerpenoverzicht","1619625480141","1"
"442","1893","1188","1286","Button: Onderwerpenoverzicht","1619626081526","1"
"443","1893","1176","1274","Button: Onderwerpenoverzicht","1619626516767","1"
"444","1887","1190","1288","Button: First Recommended","1619627879485","1"
"445","1893","1189","1287","Button: Onderwerpenoverzicht","1619627914100","1"
"446","1887","1191","1289","Button: First Recommended","1619628032049","1"
"447","1893","1179","1277","Button: Onderwerpenoverzicht","1619628101151","1"
"448","1893","1179","1277","Button: Onderwerpenoverzicht","1619628103708","1"
"449","1887","1193","1291","Button: First Recommended","1619628129381","1"
"450","1887","1194","1292","Button: First Recommended","1619628242683","3"
"451","1887","1195","1293","Button: First Recommended","1619628315275","1"
"452","1887","1196","1294","Button: First Recommended","1619628347033","2"
"453","1887","1197","1295","Button: First Recommended","1619628389673","1"
"454","1887","1198","1296","Button: First Recommended","1619628418971","1"
"455","1887","1199","1297","Button: First Recommended","1619629043699","3"
"456","1887","1202","1300","Button: First Recommended","1619629115269","1"
"457","1887","1203","1301","Button: First Recommended","1619629181015","1"
"458","1887","1204","1302","Button: First Recommended","1619629301837","1"
"459","1887","1205","1303","Button: First Recommended","1619629328434","3"
"460","1887","1206","1304","Button: First Recommended","1619629376509","2"
"461","1887","1207","1305","Button: First Recommended","1619629470044","1"
"462","1887","1208","1306","Button: First Recommended","1619629495440","1"
"463","1887","1209","1307","Button: First Recommended","1619629561733","2"
"464","1887","1210","1308","Button: First Recommended","1619629621401","1"
"465","1887","1211","1309","Button: First Recommended","1619629634357","1"
"466","1887","1212","1310","Button: First Recommended","1619629801202","1"
"467","1910","1201","1299","Button: Oefeningenoverzicht","1619629926259","1"
"468","1887","1213","1311","Button: First Recommended","1619629976848","2"
"469","1887","1215","1313","Button: First Recommended","1619629995211","2"
"470","1887","1216","1314","Button: First Recommended","1619630113035","2"
"471","1887","1217","1315","Button: First Recommended","1619630137190","1"
"472","1887","1218","1316","Button: First Recommended","1619630150761","1"
"473","1887","1219","1317","Button: First Recommended","1619630181943","5"
"474","1887","1220","1318","Button: First Recommended","1619630211857","4"
"475","1887","1221","1319","Button: First Recommended","1619630244160","1"
"476","1887","1222","1320","Button: First Recommended","1619630276403","5"
"477","1887","1223","1321","Button: First Recommended","1619630288544","1"
"478","1887","1224","1322","Button: First Recommended","1619630303682","1"
"479","1887","1225","1323","Button: First Recommended","1619630439945","2"
"480","1887","1226","1324","Button: First Recommended","1619630484765","1"
"481","1887","1227","1325","Button: First Recommended","1619630513070","3"
"482","1887","1228","1326","Button: First Recommended","1619630529688","2"
"483","1887","1229","1327","Button: First Recommended","1619630552204","2"
"484","1887","1230","1328","Button: First Recommended","1619630570069","2"
